0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,0
1,FTH,FTH,FTH,FTH,FTH,FTH,FTH,FTH,FTH,FTH,FTH,FTH,FTH,FTH,FTH,FTH,FTH,FTH,FTH,FTH,1
2,FTH,FTH,FTH,FTH,FTH,FTH,FTH,FTH,FTH,FTH,FTH,FTH,FTH,FTH,FTH,FTH,FTH,FTH,FTH,FTH,2
3,FTH,FTH,FTH,FTH,FTH,FTH,FTH,FTH,FTH,FTH,FTH,FTH,FTH,FTH,FTH,FTH,FTH,FTH,FTH,FTH,3
4,FTH,FTH,FTH,FTH,FTH,FTH,FTH,FTH,FTH,FTH,FTH,FTH,FTH,FTH,FTH,FTH,FTH,FTH,FTH,FTH,4
5,FTH,FTH,FTH,FTH,FTH,FTH,FTH,FTH,FTH,FTH,FTH,FTH,FTH,FTH,FTH,FTH,FTH,FTH,FTH,FTH,5
6,FTH,FTH,FTH,FTH,FTH,FTH,FTH,FTH,FTH,FTH,FTH,FTH,FTH,FTH,FTH,FTH,FTH,FTH,FTH,FTH,6
7,FTH,FTH,FTH,FTH,FTH,FTH,FTH,FTH,FTH,FTH,FTH,FTH,FTH,FTH,FTH,FTH,FTH,FTH,FTH,FTH,7
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,33
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,34
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,36
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,37
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,38
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,39
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,41
42,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,42
43,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,43
44,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,44
45,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,2,45
46,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,2,46
47,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,2,47
48,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,1,0,0,1,2,48
49,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,1,0,0,1,2,49
