0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
31,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
32,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
33,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
34,2AK,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
35,2AK,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
36,2AK,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
37,3AK,3AK,1,0,2AK,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,37
38,3AK,3AK,1,0,2AK,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,38
39,3AK,3AK,1,0,2AK,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,39
40,4AK,4AK,2,1,3AK,2AK,1,0,1,0,0,0,2,1,0,0,0,0,0,0,40
41,4AK,4AK,2,1,3AK,2AK,1,0,1,0,0,0,2,1,0,0,0,0,0,0,41
42,4AK,4AK,2,1,3AK,2AK,1,0,1,0,0,0,2,1,0,0,0,0,0,0,42
43,6AK,5AK,3AK,2,4AK,3AK,2AK,1,2,1,0,0,3,2,1,0,1,0,0,0,43
44,6AK,5AK,3AK,2,4AK,3AK,2AK,1,2,1,0,0,3,2,1,0,1,0,0,0,44
45,6AK,5AK,3AK,2,4AK,3AK,2AK,1,2,1,0,0,3,2,1,0,1,0,0,0,45
46,7AK,7AK,7AK,3,5AK,4AK,3AK,1AK,3,1,0,0,4,3,1,1,1,1,0,0,46
47,7AK,7AK,7AK,3,5AK,4AK,3AK,1AK,3,1,0,0,4,3,1,1,1,1,0,0,47
48,7AK,7AK,7AK,3,5AK,4AK,3AK,1AK,3,1,0,0,4,3,1,1,1,1,0,0,48
49,8AK,8AK,5AK,4AK,7AK,5AK,4AK,2AK,4,2,0,0,5AK,4,2,1,2,1,0,0,49
