0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,0
1,F2H,F2H,F2H,F2H,F2H,F2H,F2H,F2H,F2H,F2H,F2H,F2H,F2H,F2H,F2H,F2H,F2H,F2H,F2H,F2H,1
2,F2H,F2H,F2H,F2H,F2H,F2H,F2H,F2H,F2H,F2H,F2H,F2H,F2H,F2H,F2H,F2H,F2H,F2H,F2H,F2H,2
3,F2H,F2H,F2H,F2H,F2H,F2H,F2H,F2H,F2H,F2H,F2H,F2H,F2H,F2H,F2H,F2H,F2H,F2H,F2H,F2H,3
4,F2H,F2H,F2H,F2H,F2H,F2H,F2H,F2H,F2H,F2H,F2H,F2H,F2H,F2H,F2H,F2H,F2H,F2H,F2H,F2H,4
5,F2H,F2H,F2H,F2H,F2H,F2H,F2H,F2H,F2H,F2H,F2H,F2H,F2H,F2H,F2H,F2H,F2H,F2H,F2H,F2H,5
6,F2H,F2H,F2H,F2H,F2H,F2H,F2H,F2H,F2H,F2H,F2H,F2H,F2H,F2H,F2H,F2H,F2H,F2H,F2H,F2H,6
7,F2H,F2H,F2H,F2H,F2H,F2H,F2H,F2H,F2H,F2H,F2H,F2H,F2H,F2H,F2H,F2H,F2H,F2H,F2H,F2H,7
8,F2H,F2H,F2H,F2H,F2H,F2H,F2H,F2H,F2H,F2H,F2H,F2H,F2H,F2H,F2H,F2H,F2H,F2H,F2H,F2H,8
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,30
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,31
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,32
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,33
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,34
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,35
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,36
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,37
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,38
