0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,0
1,FPA,FPA,FPA,FPA,FPA,FPA,FPA,FPA,FPA,FPA,FPA,FPA,FPA,FPA,FPA,FPA,FPA,FPA,FPA,FPA,1
2,FPA,FPA,FPA,FPA,FPA,FPA,FPA,FPA,FPA,FPA,FPA,FPA,FPA,FPA,FPA,FPA,FPA,FPA,FPA,FPA,2
3,FPA,FPA,FPA,FPA,FPA,FPA,FPA,FPA,FPA,FPA,FPA,FPA,FPA,FPA,FPA,FPA,FPA,FPA,FPA,FPA,3
4,FPA,FPA,FPA,FPA,FPA,FPA,FPA,FPA,FPA,FPA,FPA,FPA,FPA,FPA,FPA,FPA,FPA,FPA,FPA,FPA,4
5,FPA,FPA,FPA,FPA,FPA,FPA,FPA,FPA,FPA,FPA,FPA,FPA,FPA,FPA,FPA,FPA,FPA,FPA,FPA,FPA,5
6,FPA,FPA,FPA,FPA,FPA,FPA,FPA,FPA,FPA,FPA,FPA,FPA,FPA,FPA,FPA,FPA,FPA,FPA,FPA,FPA,6
7,FPA,FPA,FPA,FPA,FPA,FPA,FPA,FPA,FPA,FPA,FPA,FPA,FPA,FPA,FPA,FPA,FPA,FPA,FPA,FPA,7
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
