0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,0
1,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,1
2,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,2
3,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,3
4,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,4
5,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,5
6,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,6
7,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,7
8,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,8
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,2,3,28
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,2,3,29
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,2,3,30
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,2,3,31
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,2,3,32
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,2,3,33
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,2,3,34
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,2,3,35
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,2,3,36
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,2,3,37
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,2,3,38
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,2,3,39
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,2,3,40
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,2,3,41
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,2,3,42
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,2,3,43
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,2,3,44
45,0,0,0,0,0,0,0,4,0,0,0,0,0,1,2,3,1,2,3,4,45
46,0,0,0,0,0,0,0,4,0,0,0,0,0,1,2,3,1,2,3,4,46
47,0,0,0,0,0,0,0,4,0,0,0,0,0,1,2,3,1,2,3,4,47
48,0,0,0,0,0,0,0,4,0,0,0,0,0,1,2,3,1,2,3,4,48
49,0,0,0,0,0,0,4,5,0,0,0,2,1,2,3,4,2,2,3,4,49
50,0,0,0,0,0,0,4,5,0,0,0,2,1,2,3,4,2,2,3,4,50
51,0,0,0,0,0,0,4,5,0,0,0,2,1,2,3,4,2,2,3,4,51
52,0,0,0,0,0,0,4,5,0,0,0,2,1,2,3,4,2,3,4,4,52
53,0,0,0,0,0,0,4,5,0,0,0,2,1,2,3,4,2,3,4,4,53
54,0,0,0,0,0,0,4,5,0,0,0,2,1,2,3,4,2,3,4,4,54
55,0,0,0,0,0,4,5,6,0,2,0,3,2,3,4,5,3,3,4,5,55
56,0,0,0,0,0,4,5,6,0,2,0,3,2,3,4,5,3,3,4,5,56
57,0,0,0,0,0,4,5,6,0,2,0,3,2,3,4,5,3,3,4,5,57
58,0,0,0,0,0,5,5,6,0,3,0,3,3,4,4,5,3,4,5,5,58
59,0,0,0,0,0,5,5,6,0,3,0,3,3,4,4,5,3,4,5,5,59
60,0,0,0,0,4,5,6,7,2,3,2,4,3,4,5,5,4,4,5,5,60
61,0,0,0,0,4,6,6,7,2,3,2,4,3,5,5,6,4,4,5,5,61
62,0,0,0,0,4,6,6,7,2,4,2,4,4,5,5,6,4,4,5,6,62
63,0,0,0,0,5,6,7,7,3,4,3,4,4,5,5,6,4,5,5,6,63
64,0,0,0,0,5,6,7,8,3,4,3,4,4,5,5,6,4,5,5,6,64
65,0,8,0,0,5,7,7,8,3,4,3,5,4,5,6,6,5,5,6,6,65
66,0,8,0,0,6,7,7,8,3,5,3,5,5,6,6,7,5,5,6,6,66
67,0,8,0,0,6,7,7,8,4,5,3,5,5,6,6,7,5,5,6,6,67
68,0,9,0,0,6,7,8,8,4,5,4,5,5,6,6,7,5,5,6,6,68
69,0,9,0,0,7,8,8,9,4,6,4,5,5,6,6,7,5,6,6,6,69
70,0,9,0,3,7AK,8,8,9,5AK,6,4,6,6,7,7,7,6,6,6,6,70
71,0,10,0,3,7AP,8,8,9,5AP,6,4,6,6,7,7,8,6,6,6,6,71
72,0,10,0,3,8AK,9,9,9,5AK,6,5,6,6,7,7,8,6,6,7,7,72
73,0,10,0,4,8AP,9,9,10,5AP,7,5,6,6,7,7,8,6,6,7,7,73
74,0,11,0,4,8AK,9,9,10,6AK,7,5,6,7,8,7,8,6,6,7,7,74
75,8,11AK,6,4,9AP,9AK,9,10,6AP,7,5,7,7,8,8,8,7,7,7,7,75
76,8,11AP,6,5,9AK,10AP,9,10,6AK,7,6,7,7,8,8,8,7,7,7,7,76
77,9,11AK,6,5,9AP,10AK,10,10,7AP,8,6,7,7,8,8,9,7,7,7,7,77
78,9,12AP,7,5,10AK,10AP,10,11,7AK,8,6,7,8,9,8,9,7,7,7,7,78
79,9,12AK,7,6,10AP,11AK,10,11,7AP,8,6,7,8,9,8,9,7,7,8,7,79
80,10,12BP,7,6,10AK,11AP,10AK,11,7BK,9AK,7,8,8AK,9,9,9,8,8,8,7,80
81,10,13BK,8,6,11AP,11AK,10AP,11,8BP,9AP,7,8,8AP,9,9,9,8,8,8,8,81
82,10,13BP,8,7,11BK,11AP,11AK,11,8BK,9AK,7,8,9AK,9,9,10,8,8,8,8,82
83,11,13BK,8,7,11BP,12AK,11AP,12,8BP,9AP,7,8,9AP,10,9,10,8,8,8,8,83
84,11,14BP,9,7,12BK,12AP,11AK,12,9BK,10AK,8,8,9AK,10,9,10,8,8,8,8,84
85,12AK,14BK,9,7,12BP,12BK,11AP,12AK,9BP,10AP,8AK,9,9AP,10,10,10,9,8,8,8,85
86,12AP,14BP,9,8,13BK,12BP,12AK,12AP,9BK,10AK,8AP,9,10AK,10,10,10,9,9,9,8,86
87,12AK,14BK,10,8,13BP,13BK,12AP,12AK,9BP,10AP,8AK,9,10AP,11,10,11,9,9,9,8,87
88,13BP,15CP,10,8,13BK,13BP,12BK,13AP,10BK,11AK,9AP,9,10AK,11,10,11,9,9,9,8,88
89,13BK,15CK,10,9,13BP,13BK,12BP,13AK,10BP,11AP,9AK,9,10AP,11,10,11,9,9,9,9,89
90,13BP,15CP,11AK,9,14BK,14BP,12BK,13AP,10BK,11AK,9AP,10AK,11AK,11AK,11,11,10AK,9,9,9,90
91,14BK,16CK,11AP,9,14BP,14BK,13BP,13AK,11BP,12BP,9AK,10AP,11AP,12AP,11,11,10AP,9,9,9,91
92,14BP,16CP,11AK,10,14BK,14BP,13BK,13AP,11BK,12BK,9AP,10AK,11AK,12AK,11,11,10AK,10,9,9,92
93,14CK,16CK,12AP,10,15BP,14BK,13BP,14AK,11BP,12BP,10AK,10AP,11BP,12AP,11,12,10AP,10,9,9,93
