0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,0
1,FMI,FMI,FMI,FMI,FMI,FMI,FMI,FMI,FMI,FMI,FMI,FMI,FMI,FMI,FMI,FMI,FMI,FMI,FMI,FMI,1
2,FMI,FMI,FMI,FMI,FMI,FMI,FMI,FMI,FMI,FMI,FMI,FMI,FMI,FMI,FMI,FMI,FMI,FMI,FMI,FMI,2
3,FMI,FMI,FMI,FMI,FMI,FMI,FMI,FMI,FMI,FMI,FMI,FMI,FMI,FMI,FMI,FMI,FMI,FMI,FMI,FMI,3
4,FMI,FMI,FMI,FMI,FMI,FMI,FMI,FMI,FMI,FMI,FMI,FMI,FMI,FMI,FMI,FMI,FMI,FMI,FMI,FMI,4
5,FMI,FMI,FMI,FMI,FMI,FMI,FMI,FMI,FMI,FMI,FMI,FMI,FMI,FMI,FMI,FMI,FMI,FMI,FMI,FMI,5
6,FMI,FMI,FMI,FMI,FMI,FMI,FMI,FMI,FMI,FMI,FMI,FMI,FMI,FMI,FMI,FMI,FMI,FMI,FMI,FMI,6
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47
