0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,0
1,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,1
2,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,2
3,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,3
4,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,4
5,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,5
6,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,F1H,6
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,25
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,26
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,27
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,28
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,29
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,30
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,31
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,32
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,33
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,34
35,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,1,0,1,1,1,35
36,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,1,0,1,1,1,36
37,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,1,0,1,1,1,37
38,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,1,0,1,1,1,38
39,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,1,0,1,1,1,39
40,0,0,0,0,0,0,3,3,0,0,0,0,0,1,1,1,1,1,1,1,40
41,0,0,0,0,0,0,3,3,0,0,0,0,0,1,1,1,1,1,1,1,41
42,0,0,0,0,0,0,3,3,0,0,0,0,0,1,1,1,1,1,1,1,42
43,0,0,0,0,0,0,3,3,0,0,0,0,0,1,1,1,1,1,1,1,43
44,0,0,0,0,0,0,3,3,0,0,0,0,0,1,1,1,1,1,1,1,44
45,0,0,0,0,0,3,3,3,0,0,0,2,1,1,1,2,1,1,1,1,45
46,0,0,0,0,0,3,3,3,0,0,0,2,1,1,1,2,1,1,1,1,46
47,0,0,0,0,0,3,3,3,0,0,0,2,1,1,1,2,1,1,1,1,47
48,0,0,0,0,0,3,3,3,0,0,0,2,1,1,1,2,1,1,1,1,48
49,0,0,0,0,3,3,3,4,0,2,0,2,1,2,2,2,1,1,1,1,49
50,0,0,0,0,3,3,3,4,0,2,0,2,1,2,2,2,1,1,1,1,50
51,0,0,0,0,3,3,3,4,0,2,0,2,1,2,2,2,1,1,1,1,51
52,0,0,0,0,3,4,4,4,0,2,0,2,1,2,2,2,2,1,1,1,52
53,0,0,0,0,3,4,4,4,0,2,0,2,1,2,2,2,2,1,1,1,53
54,0,0,0,0,3,4,4,4,0,2,0,2,1,2,2,2,2,1,1,1,54
55,0,8,0,0,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,1,55
56,0,8,0,0,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,1,56
57,0,8,0,0,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,1,57
58,0,8,0,0,4,4,4,4,2,3,2,2,2,2,2,2,2,2,2,1,58
59,0,8,0,0,4,4,4,4,2,3,2,2,2,2,2,2,2,2,2,1,59
60,0,8,0,0,4,4,4,4,2,3,2,2,2,2,2,2,2,2,2,1,60
61,0,9,0,3,4,5,4,4,2,3,2,2,2,3,2,3,2,2,2,1,61
62,0,9,0,3,5,5,4,4,2,3,2,3,2,3,2,3,2,2,2,1,62
63,0,9,0,3,5,5,4,4,3,3,2,3,2,3,2,3,2,2,2,1,63
64,0,9,0,3,5,5,4,5,3,3,2,3,3,3,3,3,2,2,2,1,64
65,8,10,6,4,5,5,4,5,3,3,2,3,3,3,3,3,2,2,2,1,65
66,8,10,6,4,5,5,4,5,3,4,2,3,3,3,3,3,2,2,2,1,66
67,8,10,6,4,5,5,5,5,3,4,3,3,3,3,3,3,3,2,2,1,67
68,8,10,6,4,6,5,5,5,3,4,3,3,3,3,3,3,3,2,2,1,68
69,9,10,6,4,6,6,5,5,3,4,3,3,3,3,3,3,3,2,2,1,69
70,9,10,7,5,6,6,5,5,3,4,3,3,3,4,3,3,3,2,2,1,70
71,9,11,7,5,6,6,5,5,4,4,3,3,3,4,3,3,3,2,2,1,71
72,9,11,7,5,6,6,5,5,4,4,3,3,3,4,3,3,3,2,2,1,72
73,10,11,7,5,6,6,5,5,4,4,3,3,4,4,3,3,3,3,2,1,73
74,10,11,7,5,6,6,5,5,4,4,3,3,4,4,3,3,3,3,2,1,74
75,10,11,8,5,7,6,5,5,4,5,3,3,4,4,3,4,3,3,2,1,75
76,11,12,8,6,7,6,5,5,4,5,3,3,4,4,3,4,3,3,2,1,76
77,11,12,8,6,7,7,5,5,4,5,3,3,4,4,3,4,3,3,2,1,77
78,11,12,8,6,7,7,5,6,4,5,3,3,4,4,4,4,3,3,2,1,78
79,11,12,8,6,7,7,5,6,5,5,4,3,4,4,4,4,3,3,2,1,79
80,11,12,9,6,7AK,7,5,6,5,5,4,4,4,5,4,4,3,3,2,1,80
81,11,13,9,7,8AU,7,6,6,5,5,4,4,4,5,4,4,4,3,2,1,81
82,12,13,9,7,8AG,7,6,6,5,5,4,4,4,5,4,4,4,3,2,1,82
83,12,13,9,7,8AK,7,6,6,5,6,4,4,5,5,4,4,4,3,2,2,83
84,12,13AS,9,7,8AG,7,6,6,5,6,4,4,5,5,4,4,4,3,2,2,84
85,12,13AU,10,7,8AK,8AK,6,6,5,6,4,4,5,5,4,4,4,3,2,2,85
86,13,13AK,10,8,8AG,8AU,6,6,5,6,4,4,5,5,4,4,4,3,2,2,86
87,13,14AG,10,8,9AK,8AG,6,6,6,6,4,4,5,5,4,4,4,3,2,2,87
88,13,14AS,10,8,9AG,8AK,6,6,6,6,4,4,5,5,4,4,4,3,3,2,88
89,13,14AK,10,8,9AK,8AG,6,6,6,6,4,4,5,5,4,4,4,3,3,2,89
90,14,14AG,11,8,9AG,8AK,6AK,6,6AK,6,4,4,5,6,4,5,4,3,3,2,90
91,14,14AS,11,8,9AK,8AG,6AU,6,6AU,6,5,4,5,6,4,5,4,3,3,2,91
92,14,15AK,11,9,9AG,8AK,6AG,6,6AG,7,5,4,5,6,4,5,4,3,3,2,92
93,14,15AG,11,9,9AK,9AG,6AK,7,6AK,7,5,4,6,6,5,5,4,4,3,2,93
94,14AS,15AS,11,9,10AG,9AK,6AG,7,6AG,7,5,4,6,6,5,5,4,4,3,2,94
95,15AU,15AK,12,9,10AK,9AG,7AK,7AK,7AK,7,5,4,6,6,5,5,5,4,3,2,95
96,15AK,15AG,12,9,10AG,9AK,7AG,7AU,7AG,7,5,4,6,6,5,5,5,4,3,2,96
97,15AG,16AS,12,10,10AS,9AG,7AK,7AG,7AK,7,5,4,6,6,5,5,5,4,3,2,97
98,15AS,16AK,12,10,10AG,9AK,7AG,7AK,7AG,7,5,5,6,6,5,5,5,4,3,2,98
99,16AK,16BS,12AS,10,10BK,9AG,7AK,7AG,7AK,7,5,5,6,6,5,5,5,4,3,2,99
